Date,Ticker,Open,High,Low,Returns
07/23/2012,IGUSA10D,,,,1.497489
07/24/2012,IGUSA10D,,,,1.471824
07/25/2012,IGUSA10D,,,,1.452022
07/26/2012,IGUSA10D,,,,1.4645
07/27/2012,IGUSA10D,,,,1.585056
07/30/2012,IGUSA10D,,,,1.532448
07/31/2012,IGUSA10D,,,,1.514228
08/01/2012,IGUSA10D,,,,1.568268
08/02/2012,IGUSA10D,,,,1.520872
08/03/2012,IGUSA10D,,,,1.6016
08/06/2012,IGUSA10D,,,,1.590318
08/07/2012,IGUSA10D,,,,1.654688
08/08/2012,IGUSA10D,,,,1.66992
08/09/2012,IGUSA10D,,,,1.674283
08/10/2012,IGUSA10D,,,,1.63482
08/13/2012,IGUSA10D,,,,1.63713
08/14/2012,IGUSA10D,,,,1.716679
08/15/2012,IGUSA10D,,,,1.78074
08/16/2012,IGUSA10D,,,,1.805112
08/17/2012,IGUSA10D,,,,1.789909
08/20/2012,IGUSA10D,,,,1.798706
08/21/2012,IGUSA10D,,,,1.78038
08/22/2012,IGUSA10D,,,,1.694781
08/23/2012,IGUSA10D,,,,1.669584
08/24/2012,IGUSA10D,,,,1.666896
08/27/2012,IGUSA10D,,,,1.63416
08/28/2012,IGUSA10D,,,,1.620648
08/29/2012,IGUSA10D,,,,1.642072
08/30/2012,IGUSA10D,,,,1.617286
08/31/2012,IGUSA10D,,,,1.548334
09/04/2012,IGUSA10D,,,,1.567422
09/05/2012,IGUSA10D,,,,1.58432
09/06/2012,IGUSA10D,,,,1.6506
09/07/2012,IGUSA10D,,,,1.633761
09/10/2012,IGUSA10D,,,,1.641864
09/11/2012,IGUSA10D,,,,1.65359
09/12/2012,IGUSA10D,,,,1.72752
09/13/2012,IGUSA10D,,,,1.69435
09/14/2012,IGUSA10D,,,,1.82642
09/17/2012,IGUSA10D,,,,1.80301
09/18/2012,IGUSA10D,,,,1.772862
09/19/2012,IGUSA10D,,,,1.744176
09/20/2012,IGUSA10D,,,,1.7586
09/21/2012,IGUSA10D,,,,1.72752
09/24/2012,IGUSA10D,,,,1.702764
09/25/2012,IGUSA10D,,,,1.66668
09/26/2012,IGUSA10D,,,,1.615728
09/27/2012,IGUSA10D,,,,1.627464
09/28/2012,IGUSA10D,,,,1.622775
10/01/2012,IGUSA10D,,,,1.610644
10/02/2012,IGUSA10D,,,,1.613432
10/03/2012,IGUSA10D,,,,1.619336
10/04/2012,IGUSA10D,,,,1.66668
10/05/2012,IGUSA10D,,,,1.712375
10/09/2012,IGUSA10D,,,,1.702068
10/10/2012,IGUSA10D,,,,1.688008
10/11/2012,IGUSA10D,,,,1.66311
10/12/2012,IGUSA10D,,,,1.656369
10/15/2012,IGUSA10D,,,,1.66685
10/16/2012,IGUSA10D,,,,1.7262
10/17/2012,IGUSA10D,,,,1.788825
10/18/2012,IGUSA10D,,,,1.832472
10/19/2012,IGUSA10D,,,,1.778365
10/22/2012,IGUSA10D,,,,1.814994
10/23/2012,IGUSA10D,,,,1.775859
10/24/2012,IGUSA10D,,,,1.78812
10/25/2012,IGUSA10D,,,,1.850328
10/26/2012,IGUSA10D,,,,1.773592
10/29/2012,IGUSA10D,,,,1.741392
10/31/2012,IGUSA10D,,,,1.718452
11/01/2012,IGUSA10D,,,,1.7437
11/02/2012,IGUSA10D,,,,1.7423
11/05/2012,IGUSA10D,,,,1.713636
11/06/2012,IGUSA10D,,,,1.765404
11/07/2012,IGUSA10D,,,,1.67412
11/08/2012,IGUSA10D,,,,1.620162
11/09/2012,IGUSA10D,,,,1.612415
11/13/2012,IGUSA10D,,,,1.592862
11/14/2012,IGUSA10D,,,,1.596201
11/15/2012,IGUSA10D,,,,1.58079
11/16/2012,IGUSA10D,,,,1.581738
11/19/2012,IGUSA10D,,,,1.60356
11/20/2012,IGUSA10D,,,,1.65419
11/21/2012,IGUSA10D,,,,1.68324
11/23/2012,IGUSA10D,,,,1.68759
11/26/2012,IGUSA10D,,,,1.648878
11/27/2012,IGUSA10D,,,,1.63098
11/28/2012,IGUSA10D,,,,1.616634
11/29/2012,IGUSA10D,,,,1.607688
11/30/2012,IGUSA10D,,,,1.610604
12/03/2012,IGUSA10D,,,,1.62185
12/04/2012,IGUSA10D,,,,1.608012
12/05/2012,IGUSA10D,,,,1.58624
12/06/2012,IGUSA10D,,,,1.575849
12/07/2012,IGUSA10D,,,,1.620648
12/10/2012,IGUSA10D,,,,1.607995
12/11/2012,IGUSA10D,,,,1.636926
12/12/2012,IGUSA10D,,,,1.692652
12/13/2012,IGUSA10D,,,,1.713552
12/14/2012,IGUSA10D,,,,1.694888
12/17/2012,IGUSA10D,,,,1.750274
12/18/2012,IGUSA10D,,,,1.813504
12/19/2012,IGUSA10D,,,,1.799434
12/20/2012,IGUSA10D,,,,1.786832
12/21/2012,IGUSA10D,,,,1.75761
12/24/2012,IGUSA10D,,,,1.777112
12/26/2012,IGUSA10D,,,,1.759557
12/27/2012,IGUSA10D,,,,1.7313
12/28/2012,IGUSA10D,,,,1.724637
12/31/2012,IGUSA10D,,,,1.765938
01/02/2013,IGUSA10D,,,,1.831728
01/03/2013,IGUSA10D,,,,1.896384
01/04/2013,IGUSA10D,,,,1.90491
01/07/2013,IGUSA10D,,,,1.89216
01/08/2013,IGUSA10D,,,,1.864296
01/09/2013,IGUSA10D,,,,1.856688
01/10/2013,IGUSA10D,,,,1.87753
01/11/2013,IGUSA10D,,,,1.860894
01/14/2013,IGUSA10D,,,,1.858815
01/15/2013,IGUSA10D,,,,1.830054
